docket_id,court_id
18414,washctapp
18524,washctapp
18582,wash
18621,washctapp
18622,washctapp
69670179,washctapp
1608343,wash
69670180,washctapp
69670181,washctapp
69670182,washctapp
69670183,washctapp
18767,wash
18773,washctapp
18775,wash
18796,washctapp
18888,wash
18918,wash
19003,wash
19054,wash
20085,wash
20226,wash
20293,washctapp
19105,wash
19106,wash
19114,wash
19204,wash
19210,wash
19297,wash
19347,wash
19419,wash
19431,washctapp
20348,washctapp
20371,wash
20384,washctapp
19481,wash
22116,wash
22274,wash
22276,wash
22308,wash
22538,washctapp
22539,washctapp
22540,washctapp
22543,washctapp
22544,washctapp
22545,washctapp
22546,washctapp
22563,washctapp
2431618,washctapp
20422,wash
20467,washctapp
20473,washctapp
20479,wash
20480,washctapp
20485,wash
20489,washctapp
20491,washctapp
20493,wash
20501,wash
20509,wash
20520,wash
20522,wash
20523,wash
20538,wash
20543,wash
20554,wash
20563,wash
20603,wash
20612,wash
20648,wash
20651,wash
20674,wash
20701,wash
20702,wash
20733,wash
20765,wash
20769,wash
20891,wash
20900,wash
20902,wash
20910,washctapp
20913,washctapp
20916,wash
20917,washctapp
20918,washctapp
20926,washctapp
20940,washctapp
20944,washctapp
20955,washctapp
20968,washctapp
20971,wash
20972,washctapp
20990,washctapp
21177,washctapp
69057326,washctapp
69057333,washctapp
69057327,washctapp
69057328,washctapp
69057330,washctapp
21274,washctapp
69057329,washctapp
69057331,washctapp
69057332,washctapp
69057334,washctapp
69057335,washctapp
21499,wash
21500,washctapp
21509,washctapp
21511,washctapp
21582,washctapp
21589,washctapp
21590,washctapp
21591,washctapp
21641,washctapp
21646,washctapp
21647,washctapp
21657,washctapp
21699,washctapp
21700,washctapp
21701,washctapp
21703,washctapp
21704,washctapp
21709,washctapp
21711,wash
21724,wash
21845,wash
21865,wash
21866,wash
69670538,washctapp
69670536,washctapp
69670535,washctapp
69670537,washctapp
69670539,washctapp
69670540,washctapp
21937,wash
21972,washctapp
63942337,washctapp
63942339,washctapp
63942341,washctapp
1608655,wash
63942377,washctapp
63942363,washctapp
63942365,washctapp
63942384,washctapp
63942390,washctapp
63942392,washctapp
63942431,washctapp
63942433,washctapp
63942415,washctapp
63942417,washctapp
63942463,washctapp
63942465,washctapp
63942471,washctapp
63942575,washctapp
63942616,washctapp
63942618,washctapp
63942631,washctapp
63942633,washctapp
63942708,washctapp
63942710,washctapp
63942741,washctapp
63942717,washctapp
63942719,washctapp
63942762,washctapp
63942795,washctapp
63942763,washctapp
63942765,washctapp
63942819,washctapp
63942821,washctapp
63942823,washctapp
63942827,washctapp
63942883,washctapp
63942884,washctapp
63942924,washctapp
63942926,washctapp
63942910,washctapp
63942963,washctapp
63942991,washctapp
63942994,washctapp
63942996,washctapp
63943051,washctapp
63943052,washctapp
63943015,washctapp
63943075,washctapp
63943077,washctapp
63943108,washctapp
63943111,washctapp
63943140,washctapp
63943142,washctapp
63943197,washctapp
63943199,washctapp
63950496,washctapp
63943227,washctapp
63943229,washctapp
63943302,washctapp
63943303,washctapp
63950529,washctapp
63950531,washctapp
63943353,washctapp
63943355,washctapp
63943357,washctapp
63943382,washctapp
63943374,washctapp
63943376,washctapp
63943378,washctapp
63943380,washctapp
63943443,washctapp
63943444,washctapp
63943457,washctapp
63943506,washctapp
63943508,washctapp
63943541,washctapp
63943559,washctapp
63943564,washctapp
63943596,washctapp
63943598,washctapp
63943720,washctapp
63943629,washctapp
63950561,washctapp
63943754,washctapp
63943788,washctapp
63943805,washctapp
63943822,washctapp
63943823,washctapp
63943839,washctapp
63943876,washctapp
63943905,washctapp
63943908,washctapp
63943928,washctapp
63943912,washctapp
63943993,washctapp
63944042,washctapp
63944051,washctapp
63944055,washctapp
63944057,washctapp
63944060,washctapp
63944062,washctapp
63944063,washctapp
63944121,washctapp
63944122,washctapp
63944140,washctapp
63944141,washctapp
63944166,washctapp
63944168,washctapp
63944181,washctapp
63944182,washctapp
63944184,washctapp
63944185,washctapp
63944187,washctapp
63944190,washctapp
63944231,washctapp
63944250,washctapp
63944252,washctapp
63944412,washctapp
63944467,washctapp
63944469,washctapp
63944521,washctapp
63944523,washctapp
63944621,washctapp
63944622,washctapp
63944631,washctapp
63944633,washctapp
63944642,washctapp
63944643,washctapp
63944646,washctapp
63944694,washctapp
63944696,washctapp
63944697,washctapp
63944703,washctapp
63944706,washctapp
63944707,washctapp
63944708,washctapp
63944709,washctapp
63944740,washctapp
63944742,washctapp
63944777,washctapp
63944779,washctapp
63944802,washctapp
63944803,washctapp
63944823,washctapp
63944827,washctapp
63944831,washctapp
63944866,washctapp
63944867,washctapp
63944875,washctapp
63944873,washctapp
63944890,washctapp
63945065,washctapp
63950589,washctapp
63945091,washctapp
63945121,washctapp
63945122,washctapp
63945123,washctapp
63945127,washctapp
63945176,washctapp
63945264,washctapp
63945310,washctapp
63945272,washctapp
63945365,washctapp
63950620,washctapp
63950624,washctapp
63945383,washctapp
63945385,washctapp
63945427,washctapp
63945473,washctapp
63945621,washctapp
63945625,washctapp
63945627,washctapp
63945654,washctapp
63945658,washctapp
63945688,washctapp
63945714,washctapp
63945732,washctapp
63945757,washctapp
63945759,washctapp
63945792,washctapp
63945829,washctapp
63945831,washctapp
63945833,washctapp
63945874,washctapp
63945890,washctapp
63945893,washctapp
63945897,washctapp
63945898,washctapp
63945900,washctapp
63945907,washctapp
63945908,washctapp
